Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SpeciesNum
1,4.4,2.9,1.4,0.2,Iris-setosa,1
2,5.1,2.5,3,1.1,Iris-versicolor,0
3,4.6,3.4,1.4,0.3,Iris-setosa,1
4,6.3,2.3,4.4,1.3,Iris-versicolor,0
5,4.8,3.1,1.6,0.2,Iris-setosa,1
6,6.7,3.1,4.7,1.5,Iris-versicolor,0
7,5.9,3,4.2,1.5,Iris-versicolor,0
8,5.1,3.4,1.5,0.2,Iris-setosa,1
9,5.5,2.3,4,1.3,Iris-versicolor,0
10,6,3.4,4.5,1.6,Iris-versicolor,0
11,6.2,2.2,4.5,1.5,Iris-versicolor,0
12,6.3,3.3,4.7,1.6,Iris-versicolor,0
13,5.8,2.7,3.9,1.2,Iris-versicolor,0
14,5.1,3.5,1.4,0.2,Iris-setosa,1
15,6.2,2.9,4.3,1.3,Iris-versicolor,0
16,4.8,3.4,1.6,0.2,Iris-setosa,1
17,5.5,2.4,3.8,1.1,Iris-versicolor,0
18,4.7,3.2,1.6,0.2,Iris-setosa,1
19,5.7,2.8,4.1,1.3,Iris-versicolor,0
20,5.6,2.9,3.6,1.3,Iris-versicolor,0
21,5.7,3.8,1.7,0.3,Iris-setosa,1
22,5.6,3,4.1,1.3,Iris-versicolor,0
23,5.8,2.6,4,1.2,Iris-versicolor,0
24,4.5,2.3,1.3,0.3,Iris-setosa,1
25,4.3,3,1.1,0.1,Iris-setosa,1
26,6.9,3.1,4.9,1.5,Iris-versicolor,0
27,5.2,4.1,1.5,0.1,Iris-setosa,1
28,5,3.5,1.3,0.3,Iris-setosa,1
29,4.6,3.1,1.5,0.2,Iris-setosa,1
30,4.8,3,1.4,0.3,Iris-setosa,1
31,5,3.2,1.2,0.2,Iris-setosa,1
32,5,3.6,1.4,0.2,Iris-setosa,1
33,5.6,2.5,3.9,1.1,Iris-versicolor,0
34,5.4,3.9,1.3,0.4,Iris-setosa,1
35,5.4,3.9,1.7,0.4,Iris-setosa,1
36,6.1,2.8,4.7,1.2,Iris-versicolor,0
37,5.9,3.2,4.8,1.8,Iris-versicolor,0
38,4.9,3.1,1.5,0.1,Iris-setosa,1
39,5.5,2.6,4.4,1.2,Iris-versicolor,0
40,6.1,2.8,4,1.3,Iris-versicolor,0
41,5.7,3,4.2,1.2,Iris-versicolor,0
42,5,3.5,1.6,0.6,Iris-setosa,1
43,6,2.2,4,1,Iris-versicolor,0
44,4.9,3.1,1.5,0.1,Iris-setosa,1
45,4.6,3.2,1.4,0.2,Iris-setosa,1
46,5.5,3.5,1.3,0.2,Iris-setosa,1
47,5,3.3,1.4,0.2,Iris-setosa,1
48,6.7,3.1,4.4,1.4,Iris-versicolor,0
49,5.2,3.4,1.4,0.2,Iris-setosa,1
50,4.8,3.4,1.9,0.2,Iris-setosa,1
51,5.4,3.4,1.7,0.2,Iris-setosa,1
52,5,3,1.6,0.2,Iris-setosa,1
53,7,3.2,4.7,1.4,Iris-versicolor,0
54,6.6,2.9,4.6,1.3,Iris-versicolor,0
55,5.2,2.7,3.9,1.4,Iris-versicolor,0
56,6,2.9,4.5,1.5,Iris-versicolor,0
57,5.7,2.9,4.2,1.3,Iris-versicolor,0
58,6.4,3.2,4.5,1.5,Iris-versicolor,0
59,4.4,3,1.3,0.2,Iris-setosa,1
60,5.3,3.7,1.5,0.2,Iris-setosa,1
61,5,3.4,1.6,0.4,Iris-setosa,1
62,5,3.4,1.5,0.2,Iris-setosa,1
63,5.4,3,4.5,1.5,Iris-versicolor,0
64,5.6,2.7,4.2,1.3,Iris-versicolor,0
65,6.3,2.5,4.9,1.5,Iris-versicolor,0
66,4.8,3,1.4,0.1,Iris-setosa,1
67,5.1,3.3,1.7,0.5,Iris-setosa,1
68,5.2,3.5,1.5,0.2,Iris-setosa,1
69,6.8,2.8,4.8,1.4,Iris-versicolor,0
70,5.7,4.4,1.5,0.4,Iris-setosa,1
71,5.5,4.2,1.4,0.2,Iris-setosa,1
72,5.1,3.5,1.4,0.3,Iris-setosa,1
73,4.7,3.2,1.3,0.2,Iris-setosa,1
74,5,2,3.5,1,Iris-versicolor,0
75,5.5,2.4,3.7,1,Iris-versicolor,0
76,5.7,2.6,3.5,1,Iris-versicolor,0
77,4.9,3.1,1.5,0.1,Iris-setosa,1
78,5.1,3.7,1.5,0.4,Iris-setosa,1
79,5.4,3.4,1.5,0.4,Iris-setosa,1
80,6.5,2.8,4.6,1.5,Iris-versicolor,0
81,5.4,3.7,1.5,0.2,Iris-setosa,1
82,6,2.7,5.1,1.6,Iris-versicolor,0
83,6.6,3,4.4,1.4,Iris-versicolor,0
84,4.9,3,1.4,0.2,Iris-setosa,1
85,5.1,3.8,1.6,0.2,Iris-setosa,1
86,6.1,3,4.6,1.4,Iris-versicolor,0
87,5,2.3,3.3,1,Iris-versicolor,0
88,6.4,2.9,4.3,1.3,Iris-versicolor,0
89,6.1,2.9,4.7,1.4,Iris-versicolor,0
90,5.8,2.7,4.1,1,Iris-versicolor,0
91,5.5,2.5,4,1.3,Iris-versicolor,0
92,5.7,2.8,4.5,1.3,Iris-versicolor,0
93,5.8,4,1.2,0.2,Iris-setosa,1
94,5.1,3.8,1.9,0.4,Iris-setosa,1
95,6.7,3,5,1.7,Iris-versicolor,0
96,5.6,3,4.5,1.5,Iris-versicolor,0
97,4.6,3.6,1,0.2,Iris-setosa,1
98,4.9,2.4,3.3,1,Iris-versicolor,0
