MSSubClass	LotFrontage	LotArea	OverallQual	OverallCond	YearBuilt	YearRemodAdd	BsmtFinSF1	BsmtUnfSF	TotalBsmtSF	1stFlrSF	GrLivArea	FullBath	BedroomAbvGr	TotRmsAbvGrd	GarageYrBlt	GarageCars	GarageArea	OpenPorchSF	YrSold	SalePrice
60	65	8450	7	5	2003	2003	706	150	856	856	1710	2	3	8	2003	2	548	61	2008	208500
20	80	9600	6	8	1976	1976	978	284	1262	1262	1262	2	3	6	1976	2	460	0	2007	181500
60	68	11250	7	5	2001	2002	486	434	920	920	1786	2	3	6	2001	2	608	42	2008	223500
70	60	9550	7	5	1915	1970	216	540	756	961	1717	1	3	7	1998	3	642	35	2006	140000
60	84	14260	8	5	2000	2000	655	490	1145	1145	2198	2	4	9	2000	3	836	84	2008	250000
50	85	14115	5	5	1993	1995	732	64	796	796	1362	1	1	5	1993	2	480	30	2009	143000
20	75	10084	8	5	2004	2005	1369	317	1686	1694	1694	2	3	7	2004	2	636	57	2007	307000
60	NA	10382	7	6	1973	1973	859	216	1107	1107	2090	2	3	7	1973	2	484	204	2009	200000
50	51	6120	7	5	1931	1950	0	952	952	1022	1774	2	2	8	1931	2	468	0	2008	129900
190	50	7420	5	6	1939	1950	851	140	991	1077	1077	1	2	5	1939	1	205	4	2008	118000
20	70	11200	5	5	1965	1965	906	134	1040	1040	1040	1	3	5	1965	1	384	0	2008	129500
60	85	11924	9	5	2005	2006	998	177	1175	1182	2324	3	4	11	2005	3	736	21	2006	345000
20	NA	12968	5	6	1962	1962	737	175	912	912	912	1	2	4	1962	1	352	0	2008	144000
20	91	10652	7	5	2006	2007	0	1494	1494	1494	1494	2	3	7	2006	3	840	33	2007	279500
20	NA	10920	6	5	1960	1960	733	520	1253	1253	1253	1	2	5	1960	1	352	213	2008	157000
45	51	6120	7	8	1929	2001	0	832	832	854	854	1	2	5	1991	2	576	112	2007	132000
20	NA	11241	6	7	1970	1970	578	426	1004	1004	1004	1	2	5	1970	2	480	0	2010	149000
90	72	10791	4	5	1967	1967	0	0	0	1296	1296	2	2	6	1967	2	516	0	2006	90000
20	66	13695	5	5	2004	2004	646	468	1114	1114	1114	1	3	6	2004	2	576	102	2008	159000
20	70	7560	5	6	1958	1965	504	525	1029	1339	1339	1	3	6	1958	1	294	0	2009	139000
60	101	14215	8	5	2005	2006	0	1158	1158	1158	2376	3	4	9	2005	3	853	154	2006	325300
45	57	7449	7	7	1930	1950	0	637	637	1108	1108	1	3	6	1930	1	280	0	2007	139400
20	75	9742	8	5	2002	2002	0	1777	1777	1795	1795	2	3	7	2002	2	534	159	2008	230000
120	44	4224	5	7	1976	1976	840	200	1040	1060	1060	1	3	6	1976	2	572	110	2007	129900
20	NA	8246	5	8	1968	2001	188	204	1060	1060	1060	1	3	6	1968	1	270	90	2010	154000
20	110	14230	8	5	2007	2007	0	1566	1566	1600	1600	2	3	7	2007	3	890	56	2009	256300
20	60	7200	5	7	1951	2000	234	180	900	900	900	1	3	5	2005	2	576	32	2010	134800
