MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,TotRmsAbvGrd,GarageYrBlt,GarageCars,GarageArea,OpenPorchSF,YrSold
60,65,8450,7,5,2003,2003,706,150,856,856,1710,2,3,8,2003,2,548,61,2008
20,80,9600,6,8,1976,1976,978,284,1262,1262,1262,2,3,6,1976,2,460,0,2007
60,68,11250,7,5,2001,2002,486,434,920,920,1786,2,3,6,2001,2,608,42,2008
70,60,9550,7,5,1915,1970,216,540,756,961,1717,1,3,7,1998,3,642,35,2006
60,84,14260,8,5,2000,2000,655,490,1145,1145,2198,2,4,9,2000,3,836,84,2008
50,85,14115,5,5,1993,1995,732,64,796,796,1362,1,1,5,1993,2,480,30,2009
20,75,10084,8,5,2004,2005,1369,317,1686,1694,1694,2,3,7,2004,2,636,57,2007
60,NA,10382,7,6,1973,1973,859,216,1107,1107,2090,2,3,7,1973,2,484,204,2009
50,51,6120,7,5,1931,1950,0,952,952,1022,1774,2,2,8,1931,2,468,0,2008
190,50,7420,5,6,1939,1950,851,140,991,1077,1077,1,2,5,1939,1,205,4,2008
20,70,11200,5,5,1965,1965,906,134,1040,1040,1040,1,3,5,1965,1,384,0,2008
60,85,11924,9,5,2005,2006,998,177,1175,1182,2324,3,4,11,2005,3,736,21,2006
20,NA,12968,5,6,1962,1962,737,175,912,912,912,1,2,4,1962,1,352,0,2008
20,91,10652,7,5,2006,2007,0,1494,1494,1494,1494,2,3,7,2006,3,840,33,2007
20,NA,10920,6,5,1960,1960,733,520,1253,1253,1253,1,2,5,1960,1,352,213,2008
45,51,6120,7,8,1929,2001,0,832,832,854,854,1,2,5,1991,2,576,112,2007
20,NA,11241,6,7,1970,1970,578,426,1004,1004,1004,1,2,5,1970,2,480,0,2010
90,72,10791,4,5,1967,1967,0,0,0,1296,1296,2,2,6,1967,2,516,0,2006
20,66,13695,5,5,2004,2004,646,468,1114,1114,1114,1,3,6,2004,2,576,102,2008
20,70,7560,5,6,1958,1965,504,525,1029,1339,1339,1,3,6,1958,1,294,0,2009
60,101,14215,8,5,2005,2006,0,1158,1158,1158,2376,3,4,9,2005,3,853,154,2006
45,57,7449,7,7,1930,1950,0,637,637,1108,1108,1,3,6,1930,1,280,0,2007
20,75,9742,8,5,2002,2002,0,1777,1777,1795,1795,2,3,7,2002,2,534,159,2008
120,44,4224,5,7,1976,1976,840,200,1040,1060,1060,1,3,6,1976,2,572,110,2007
20,NA,8246,5,8,1968,2001,188,204,1060,1060,1060,1,3,6,1968,1,270,90,2010
20,110,14230,8,5,2007,2007,0,1566,1566,1600,1600,2,3,7,2007,3,890,56,2009
20,60,7200,5,7,1951,2000,234,180,900,900,900,1,3,5,2005,2,576,32,2010
20,98,11478,8,5,2007,2008,1218,486,1704,1704,1704,2,3,7,2008,3,772,50,2010
20,47,16321,5,6,1957,1997,1277,207,1484,1600,1600,1,2,6,1957,1,319,258,2006
30,60,6324,4,6,1927,1950,0,520,520,520,520,1,1,4,1920,1,240,0,2008
70,50,8500,4,4,1920,1950,0,649,649,649,1317,1,3,6,1920,1,250,54,2008
20,NA,8544,5,6,1966,2006,0,1228,1228,1228,1228,1,3,6,1966,1,271,65,2008
20,85,11049,8,5,2007,2007,0,1234,1234,1234,1234,2,3,7,2007,2,484,30,2008
20,70,10552,5,5,1959,1959,1018,380,1398,1700,1700,1,4,6,1959,2,447,38,2010
120,60,7313,9,5,2005,2005,1153,408,1561,1561,1561,2,2,6,2005,2,556,47,2007
60,108,13418,8,5,2004,2005,0,1117,1117,1132,2452,3,4,9,2004,3,691,32,2006
20,112,10859,5,5,1994,1995,0,1097,1097,1097,1097,1,3,6,1995,2,672,64,2009
20,74,8532,5,6,1954,1990,1213,84,1297,1297,1297,1,3,5,1954,2,498,0,2009
20,68,7922,5,7,1953,2007,731,326,1057,1057,1057,1,3,5,1953,1,246,52,2010
90,65,6040,4,5,1955,1955,0,0,0,1152,1152,2,2,6,NA,0,0,0,2008
20,84,8658,6,5,1965,1965,643,445,1088,1324,1324,2,3,6,1965,2,440,138,2006
20,115,16905,5,6,1959,1959,967,383,1350,1328,1328,1,2,5,1959,1,308,104,2007
85,NA,9180,5,7,1983,1983,747,0,840,884,884,1,2,5,1983,2,504,0,2007
20,NA,9200,5,6,1975,1980,280,167,938,938,938,1,3,5,1977,1,308,0,2008
20,70,7945,5,6,1959,1959,179,465,1150,1150,1150,1,3,6,1959,1,300,0,2006
120,61,7658,9,5,2005,2005,456,1296,1752,1752,1752,2,2,6,2005,2,576,82,2010
50,48,12822,7,5,2003,2003,1351,83,1434,1518,2149,1,1,6,2003,2,670,43,2009
20,84,11096,8,5,2006,2006,24,1632,1656,1656,1656,2,3,7,2006,3,826,146,2007
190,33,4456,4,5,1920,2008,0,736,736,736,1452,2,2,8,NA,0,0,0,2009
20,66,7742,5,7,1966,1966,763,192,955,955,955,1,3,6,1966,1,386,0,2007
60,NA,13869,6,6,1997,1997,182,612,794,794,1470,2,3,6,1997,2,388,75,2007
50,52,6240,6,6,1934,1950,0,816,816,816,1176,1,3,6,1985,2,528,0,2006
90,110,8472,5,5,1963,1963,104,0,816,816,816,1,2,5,1963,2,516,0,2010
20,68,50271,9,5,1981,1987,1810,32,1842,1842,1842,0,0,5,1981,3,894,72,2006
80,60,7134,5,5,1955,1955,384,0,384,1360,1360,1,3,6,1962,2,572,50,2007
20,100,10175,6,5,1964,1964,490,935,1425,1425,1425,2,3,7,1964,2,576,0,2008
160,24,2645,8,5,1999,2000,649,321,970,983,1739,2,3,7,1999,2,480,0,2009
60,89,11645,7,5,2004,2004,0,860,860,860,1720,2,3,7,2004,2,565,70,2006
60,66,13682,10,5,2006,2006,0,1410,1410,1426,2945,3,3,10,2006,3,641,0,2006
20,60,7200,5,7,1972,1972,632,148,780,780,780,1,2,4,1973,1,352,0,2008
20,63,13072,6,5,2004,2004,941,217,1158,1158,1158,1,3,5,2006,2,576,50,2006
75,60,7200,5,7,1920,1996,0,530,530,581,1111,1,3,6,1935,1,288,0,2007
120,44,6442,8,5,2006,2006,24,1346,1370,1370,1370,2,2,6,2006,2,484,49,2007
70,50,10300,7,6,1921,1950,0,576,576,902,1710,2,3,9,1990,2,480,11,2010
60,NA,9375,7,5,1997,1998,739,318,1057,1057,2034,2,3,8,1998,2,645,36,2009
60,76,9591,8,5,2004,2005,0,1143,1143,1143,2473,2,4,9,2004,3,852,151,2007
20,NA,19900,7,5,1970,1989,912,1035,1947,2207,2207,2,3,7,1970,2,576,0,2010
20,72,10665,7,5,2003,2003,1013,440,1453,1479,1479,2,3,7,2003,2,558,29,2007
30,47,4608,4,6,1945,1950,0,747,747,747,747,1,2,4,1945,1,220,0,2010
50,81,15593,7,4,1953,1953,603,701,1304,1304,2287,2,3,7,1953,2,667,21,2006
20,95,13651,7,6,1973,1973,1880,343,2223,2223,2223,2,3,8,1973,2,516,0,2007
20,69,7599,4,6,1982,2006,565,280,845,845,845,1,2,4,1987,2,360,0,2007
60,74,10141,7,5,1998,1998,0,832,832,885,1718,2,3,7,1998,2,427,94,2009
20,85,10200,5,7,1954,2003,320,404,1086,1086,1086,1,3,6,1989,2,490,0,2010
50,60,5790,3,6,1915,1950,0,840,840,840,1605,2,3,8,1915,1,379,0,2010
180,21,1596,4,5,1973,1973,462,0,462,526,988,1,2,5,1973,1,297,101,2009
20,NA,8475,4,7,1956,1956,228,724,952,952,952,1,2,4,1956,1,283,0,2008
50,50,8635,5,5,1948,2001,336,295,672,1072,1285,1,2,6,1948,1,240,0,2008
90,72,10778,4,5,1968,1968,0,1768,1768,1768,1768,2,4,8,NA,0,0,0,2010
50,60,10440,5,6,1910,1981,0,440,440,682,1230,1,2,5,1966,2,440,0,2009
60,100,13000,6,6,1968,1968,448,448,896,1182,2142,2,4,8,1968,1,509,72,2009
120,32,4500,6,5,1998,1998,1201,36,1237,1337,1337,2,2,5,1998,2,405,199,2006
20,78,10206,8,5,2007,2007,33,1530,1563,1563,1563,2,3,6,2007,3,758,99,2008
20,80,8892,5,5,1960,1960,0,1065,1065,1065,1065,1,3,6,1974,2,461,0,2007
80,NA,8530,7,5,1995,1996,0,384,384,804,1474,2,3,7,1995,2,400,72,2009
60,121,16059,8,5,1991,1992,0,1288,1288,1301,2417,2,4,9,1991,2,462,82,2006
60,122,11911,6,5,2005,2005,0,684,684,684,1560,2,3,6,2005,2,400,38,2009
160,40,3951,6,5,2009,2009,0,612,612,612,1224,2,2,4,2009,2,528,234,2009
50,105,8470,3,2,1915,1982,0,1013,1013,1013,1526,1,2,6,NA,0,0,0,2009
20,60,8070,4,5,1994,1995,588,402,990,990,990,1,3,5,NA,0,0,0,2007
20,60,7200,4,5,1950,1950,0,0,0,1040,1040,1,2,4,1950,2,420,29,2006
20,85,8500,5,3,1961,1961,600,635,1235,1235,1235,1,2,6,1961,2,480,0,2006
30,80,13360,5,7,1921,2006,713,163,876,964,964,1,2,5,1921,2,432,0,2009
190,60,7200,6,6,1910,1998,1046,168,1214,1260,2291,2,4,9,1900,2,506,0,2007
60,69,9337,6,5,1997,1997,648,176,824,905,1786,2,3,7,1997,2,684,162,2007
60,NA,9765,6,8,1993,1993,310,370,680,680,1470,2,3,6,1993,2,420,63,2009
20,78,10264,7,5,1999,1999,1162,426,1588,1588,1588,2,3,6,1999,2,472,29,2006
20,73,10921,4,5,1965,1965,520,440,960,960,960,1,3,6,1965,1,432,0,2007
30,85,10625,5,5,1920,1950,108,350,458,835,835,1,2,5,1920,1,366,0,2010
20,77,9320,4,5,1959,1959,569,381,950,1225,1225,1,3,6,NA,0,0,0,2010
20,NA,10603,6,7,1977,2001,1200,410,1610,1610,1610,2,3,6,1977,2,480,68,2010
60,77,9206,6,5,1985,1985,0,741,741,977,1732,2,3,7,1985,2,476,46,2010
90,64,7018,5,5,1979,1979,0,0,0,1535,1535,2,4,8,1979,2,410,0,2009
20,94,10402,7,5,2009,2009,0,1226,1226,1226,1226,2,3,6,2009,3,740,36,2010
50,NA,7758,7,4,1931,1950,224,816,1040,1226,1818,1,4,7,1951,1,240,0,2007
60,75,9375,8,5,2003,2004,0,1053,1053,1053,1992,2,3,9,2003,2,648,45,2008
30,60,10800,4,7,1885,1995,0,641,641,1047,1047,1,2,6,1954,1,273,0,2007
20,50,6000,5,5,1948,1950,104,516,789,789,789,1,2,5,1948,1,250,0,2008
50,85,8500,5,7,1919,2005,0,793,793,997,1517,2,3,7,NA,0,0,0,2007
20,105,11751,6,6,1977,1977,705,1139,1844,1844,1844,2,3,7,1977,2,546,122,2010
50,75,9525,6,4,1954,1972,444,550,994,1216,1855,2,4,7,1954,1,325,0,2006
80,NA,7750,7,5,2000,2000,250,134,384,774,1430,2,3,7,2000,2,400,0,2010
60,77,9965,7,5,2007,2007,984,280,1264,1282,2696,2,4,10,2007,3,792,184,2007
20,NA,21000,6,5,1953,1953,35,905,1809,2259,2259,2,3,7,1953,2,450,120,2007
70,61,7259,6,8,1945,2002,774,104,1028,1436,2320,2,3,9,1945,1,180,0,2007
160,34,3230,6,5,1999,1999,419,310,729,729,1458,2,2,5,1999,2,440,32,2007
20,NA,11616,5,5,1962,1962,170,252,1092,1092,1092,1,3,6,1962,1,288,20,2009
20,74,8536,5,5,2006,2007,0,1125,1125,1125,1125,1,2,5,2007,2,430,64,2007
60,90,12376,7,5,1990,1990,1470,203,1673,1699,3222,3,5,11,1990,3,594,0,2010
60,65,8461,6,5,2005,2006,0,728,728,728,1456,2,3,8,2005,2,390,24,2006
80,NA,21453,6,5,1969,1969,938,0,938,988,988,1,1,4,1969,2,540,130,2006
50,50,6060,4,5,1939,1950,0,732,732,772,1123,1,3,4,1979,1,264,0,2007
20,75,9464,6,7,1958,1958,570,510,1080,1080,1080,1,3,5,1958,1,288,0,2008
120,55,7892,6,5,1993,1993,300,899,1199,1199,1199,2,2,5,1993,2,530,63,2008
20,48,17043,6,5,1979,1998,0,1362,1362,1586,1586,2,3,7,1979,2,435,0,2009
190,60,6780,6,8,1935,1982,490,30,520,520,754,1,2,5,NA,0,0,0,2006
120,NA,4928,6,5,1976,1976,120,958,1078,958,958,2,2,5,1977,2,440,205,2007
45,55,4388,5,7,1930,1950,116,556,672,840,840,1,3,5,NA,0,0,0,2007
60,69,7590,6,5,1966,1966,512,148,660,660,1348,1,3,6,1966,2,453,108,2006
20,69,8973,5,7,1958,1991,567,413,1008,1053,1053,1,3,6,1998,2,750,80,2006
60,88,14200,7,6,1966,1966,445,479,924,1216,2157,2,4,8,1966,2,487,66,2006
60,NA,12224,6,5,2000,2000,695,297,992,1022,2054,2,3,7,2000,2,390,48,2009
20,75,7388,5,6,1959,2002,405,658,1063,1327,1327,1,3,7,1974,2,624,0,2007
20,NA,6853,8,5,2001,2002,1005,262,1267,1296,1296,2,2,6,2001,2,471,25,2009
20,78,10335,5,6,1968,1993,570,891,1461,1721,1721,2,3,7,1968,2,440,96,2006
20,80,10400,7,6,1970,1970,0,1304,1304,1682,1682,2,3,7,1970,2,530,0,2008
20,NA,10355,5,5,1967,1967,695,519,1214,1214,1214,2,3,5,1967,1,318,111,2007
90,82,11070,7,5,1988,1989,0,1907,1907,1959,1959,3,5,9,1989,3,766,0,2006
60,73,9066,8,5,1999,2000,668,336,1004,1004,1852,2,3,7,1999,3,660,106,2008
60,65,15426,6,5,1997,1997,821,107,928,928,1764,2,3,7,1997,2,470,99,2009
20,70,10500,4,5,1971,1971,432,432,864,864,864,1,3,5,NA,0,0,0,2010
20,78,11645,7,5,2005,2005,1300,434,1734,1734,1734,2,3,7,2005,2,660,24,2006
50,71,8520,5,4,1952,1952,507,403,910,910,1385,2,4,6,2000,2,720,0,2010
20,78,10335,7,5,1999,1999,679,811,1490,1501,1501,2,3,6,1999,2,577,29,2009
90,70,9100,5,5,1963,1963,1332,396,1728,1728,1728,2,6,10,1963,2,504,0,2006
160,24,2522,6,5,2004,2006,0,970,970,970,1709,2,3,7,2004,2,380,40,2006
30,51,6120,5,7,1931,1993,209,506,715,875,875,1,2,5,1931,1,180,0,2009
60,NA,9505,7,5,2001,2001,0,884,884,884,2035,2,3,8,2001,2,434,48,2010
20,63,7500,7,5,2004,2005,680,400,1080,1080,1080,1,3,6,NA,0,0,0,2008
50,NA,6240,5,4,1936,1950,0,896,896,896,1344,1,3,7,1936,1,240,114,2006
20,120,10356,5,6,1975,1975,716,253,969,969,969,1,3,5,1975,2,440,0,2007
20,107,13891,8,5,2007,2008,1400,310,1710,1710,1710,2,2,6,2007,3,866,102,2008
60,NA,14803,6,5,1971,1971,416,409,825,1097,1993,2,4,8,1971,2,495,66,2006
20,NA,13500,6,7,1960,1975,429,93,1602,1252,1252,1,1,4,1960,2,564,0,2008
30,84,11340,6,5,1923,1950,0,1200,1200,1200,1200,1,4,7,1923,1,312,0,2006
50,60,9600,6,5,1924,1950,0,572,572,572,1096,1,2,5,NA,0,0,8,2008
20,60,7200,5,7,1950,1950,0,0,0,1040,1040,1,2,5,1950,2,625,0,2006
60,92,12003,8,5,2009,2010,0,774,774,774,1968,2,4,8,2009,3,680,75,2010
60,100,12552,7,5,2004,2005,222,769,991,991,1947,2,3,8,2004,2,678,136,2010
60,134,19378,7,5,2005,2006,57,1335,1392,1392,2462,2,4,9,2006,2,576,132,2006
20,NA,11120,6,6,1984,1984,660,572,1232,1232,1232,2,3,6,1984,2,516,0,2008
60,110,13688,9,5,2003,2004,1016,556,1572,1572,2668,2,3,10,2003,3,726,0,2008
20,95,12182,7,5,2005,2005,1201,340,1541,1541,1541,2,3,7,2005,2,532,70,2010
45,55,5500,4,6,1956,1956,0,882,882,882,882,1,1,4,NA,0,0,0,2007
40,40,5400,6,7,1926,2004,370,779,1149,1149,1616,2,3,5,1926,1,216,0,2007
190,62,10106,5,7,1940,1999,351,112,644,808,1355,2,4,6,NA,0,0,0,2008
20,NA,10708,5,5,1955,1993,379,470,1617,1867,1867,1,2,7,1955,1,303,0,2009
60,86,10562,8,5,2007,2007,1288,294,1582,1610,2161,1,3,8,2007,3,789,120,2007
60,62,8244,7,5,2004,2004,0,840,840,840,1720,2,3,7,2004,2,440,48,2007
20,NA,16669,8,6,1981,1981,0,1686,1686,1707,1707,2,2,6,1981,2,511,64,2006
50,NA,12358,5,6,1941,1950,360,360,720,854,1382,1,2,7,1991,2,660,0,2007
20,141,31770,6,5,1960,1960,639,441,1080,1656,1656,1,3,7,1960,2,528,62,2010
160,44,5306,7,7,1987,1987,495,354,1064,1064,1767,2,2,5,1987,2,504,35,2006
20,80,10197,6,5,1961,1961,288,700,1362,1362,1362,1,3,6,1961,2,504,20,2008
20,47,12416,6,5,1986,1986,1398,0,1606,1651,1651,2,3,7,1986,2,616,0,2008
20,84,12615,6,7,1950,2001,477,725,1202,2158,2158,2,4,7,1950,2,576,29,2007
60,97,10029,6,5,1988,1989,831,320,1151,1164,2060,2,4,8,1988,2,521,228,2007
50,NA,13650,5,5,1958,1958,57,554,1052,1252,1920,2,4,8,1958,2,451,0,2006
20,63,17423,9,5,2008,2009,1904,312,2216,2234,2234,2,1,9,2009,3,1166,60,2009
30,60,8520,5,6,1923,2006,0,968,968,968,968,1,2,5,1935,2,480,0,2007
160,NA,2117,6,5,2000,2000,436,320,756,769,1525,2,3,5,2000,2,440,0,2007
70,54,7588,7,6,1920,1950,352,441,793,901,1802,1,4,9,1920,1,216,0,2006
