Text,Label
"Dear M-shwari Customer,M-PESA soft loan now available at 5% interest @ Ksh 50,000/= 100,000/= 500,000/= Call/text On: 0785395076. M-SHWARI DEP:",1
"MPESA MA29ZQHUQ5 Confirmed.You have received Ksh6,530.00 from BEN ONYANGO 0708728960 on19/01/18 New M-PESA balance is (LOCKED)Pay bills via MPESA.",1
"Dear Sub-scribers BARCLAYS TIMIZA LOAN now availableTO M-PESA subscribers only at 5% interest @ Ksh 50,000/= 100,000/=150,000/= Call 0756162255 BARCLAYS TIMIZA",1
"Dear Customer, KCB M-PESA Soft loan now! Available at 0.5%interest 15%saving @Ksh250,000. Ksh100,000. Ksh50,000. Call On 0782222077. KCB Making the Difference.",1
"Hi I'm Rhyan Kelly from America, working with NGO surpport COMMUNITY projects need a partner For Longterm R/ship That May Lead To Marriage Call/sms",1
"Dear Customer, KCB M-PESA Soft loan now! Available at 0.5%interest 15%saving Ksh.250,000. Ksh150,000. 50,000/= Call On 0782622224 . KCB Making the Difference.",1
"Hi, am Dr Gaddy Roberto ,from Italy,got your no.from online directory, working with USAID across kenya/somali border,can we be frnds? You can whtsap me on 0736766558",1
"A new solar power company in Kenya,BAHAMA ENERGY is recruiting,if you know people who need job,tell them to send their CVs by email to hrofficer@bahamamail.com",1
EQUITY:We are very sorry to inform You that your account has been deactivated.For More Information.Call/sms for account settings.EQUITY:0782600066.,1
"I'm Nicky Woods, from Texas in America, Currently I'm based in Tanzania as a senior health Inspectorate in Child's dream in defend and Saving the Children's organisation.I got your number from an online directory,and would like to have a friend in Kenya who can help me procure a piece of land to extend our branch in Kenya, More about us log on; https://www. Childsdream.org text back if interested. Thankyou.",1
"I'am EVAH GRAFF from USA,currently working with UN/KENYA Ready to mingle with a trustworthy partner with serious relationship Kindly call/0786627619/sms.",1
"Dear Mshwari Customer,MPESA soft loan now Available at 5%interest,@ Ksh50,000/=100,000/= 250,000/= save to qualify Call/sms on: 0781000621",1
